Season,Player,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
2025-26,"Moore, Carlasia",7,0.0,46,6.0,11,0,2,4.0,5,16.0,1,0,1.0,3.0,10.0,8,5,0.0,0.5454545454545454,0.0,0.8,6.571428571428571,2.2857142857142856,0.14285714285714285
2025-26,"Parker, Dana",25,4.0,125,10.0,23,0,1,2.0,2,22.0,4,19,23.0,13.0,4.0,8,3,4.0,0.43478260869565216,0.0,1.0,5.0,0.88,0.92
2025-26,"Payne, Laderricka",6,0.0,48,4.0,10,0,0,12.0,16,20.0,2,2,4.0,4.0,1.0,4,3,0.0,0.4,,0.75,8.0,3.3333333333333335,0.6666666666666666
2025-26,"Rodgers , Gillian",28,1.0,327,63.0,163,23,87,25.0,34,174.0,17,37,54.0,37.0,11.0,32,5,9.0,0.38650306748466257,0.26436781609195403,0.7352941176470589,11.678571428571429,6.214285714285714,1.9285714285714286
2025-26,"Rosa, Isabella",22,18.0,302,38.0,94,0,3,23.0,41,99.0,35,18,53.0,46.0,19.0,31,8,9.0,0.40425531914893614,0.0,0.5609756097560976,13.727272727272727,4.5,2.409090909090909
2025-26,"Stevenson, Lynix",16,0.0,46,3.0,18,0,0,1.0,2,7.0,3,7,10.0,8.0,0.0,5,3,3.0,0.16666666666666666,,0.5,2.875,0.4375,0.625
2025-26,"Ward , Katy",2,1.0,16,1.0,2,0,1,2.0,2,4.0,0,0,0.0,1.0,2.0,0,1,0.0,0.5,0.0,1.0,8.0,2.0,0.0
2025-26,"Williams-Woodmore, Amyah",25,19.0,397,38.0,105,1,11,36.0,62,113.0,32,55,87.0,35.0,14.0,44,18,6.0,0.3619047619047619,0.09090909090909091,0.5806451612903226,15.88,4.52,3.48
2025-26,"Young, Lauren",10,0.0,51,5.0,17,0,0,4.0,5,14.0,4,6,10.0,7.0,1.0,3,3,0.0,0.29411764705882354,,0.8,5.1,1.4,1.0
2024-25,"Askin, Faith",1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,,,,0.0,0.0,0.0
2024-25,"Bell, Olivia",3,0.0,16,1.0,4,0,1,3.0,4,5.0,0,2,2.0,2.0,4.0,1,0,0.0,0.25,0.0,0.75,5.333333333333333,1.6666666666666667,0.6666666666666666
2024-25,"Bencsek, Skylar",9,0.0,50,2.0,9,2,6,3.0,4,9.0,3,3,6.0,2.0,3.0,4,1,0.0,0.2222222222222222,0.3333333333333333,0.75,5.555555555555555,1.0,0.6666666666666666
2024-25,"Berkheimer, Taylor",21,0.0,204,31.0,75,30,68,4.0,4,96.0,3,15,18.0,19.0,5.0,22,7,0.0,0.41333333333333333,0.4411764705882353,1.0,9.714285714285714,4.571428571428571,0.8571428571428571
