Player,Years,Seasons,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
"Bohannon, Taylor",1,2020-21,1.0,,6.0,,3.0,,3.0,,,,,1.0,1.0,,2.0,,,,,,,6.0,,1.0
"Boris, Nikola",1,2024-25,27.0,16.0,495.0,27.0,108.0,19.0,76.0,11.0,19.0,84.0,8.0,67.0,75.0,32.0,16.0,37.0,8.0,4.0,0.25,0.25,0.5789473684210527,18.333333333333332,3.111111111111111,2.7777777777777777
"Borman, Raeghan",1,2023-24,26.0,,249.0,18.0,67.0,6.0,25.0,24.0,39.0,66.0,7.0,21.0,28.0,29.0,10.0,38.0,17.0,3.0,0.26865671641791045,0.24,0.6153846153846154,9.576923076923077,2.5384615384615383,1.0769230769230769
"Borman, Raeghan",2,2023-24;2024-25,54.0,12.0,767.0,69.0,235.0,12.0,61.0,63.0,111.0,213.0,29.0,68.0,97.0,87.0,42.0,102.0,32.0,4.0,0.2936170212765957,0.19672131147540983,0.5675675675675675,14.203703703703704,3.9444444444444446,1.7962962962962963
"Borman, Raeghan",3,2023-24;2024-25;2025-26,67.0,16.0,1039.0,95.0,315.0,13.0,74.0,93.0,161.0,296.0,37.0,92.0,129.0,124.0,52.0,124.0,57.0,7.0,0.30158730158730157,0.17567567567567569,0.577639751552795,15.507462686567164,4.417910447761194,1.9253731343283582
"Boyd, Mikaela",1,2023-24,28.0,1.0,307.0,40.0,92.0,1.0,4.0,16.0,26.0,97.0,23.0,39.0,62.0,23.0,2.0,36.0,10.0,10.0,0.43478260869565216,0.25,0.6153846153846154,10.964285714285714,3.4642857142857144,2.2142857142857144
"Boyd, Mikaela",2,2023-24;2024-25,55.0,10.0,703.0,74.0,181.0,2.0,6.0,38.0,61.0,188.0,54.0,83.0,137.0,52.0,13.0,74.0,15.0,11.0,0.4088397790055249,0.3333333333333333,0.6229508196721312,12.781818181818181,3.418181818181818,2.4909090909090907
"Branscum, Kyrstin",1,2018-19,29.0,1.0,300.0,23.0,53.0,5.0,20.0,18.0,21.0,69.0,11.0,23.0,34.0,28.0,7.0,23.0,6.0,7.0,0.4339622641509434,0.25,0.8571428571428571,10.344827586206897,2.3793103448275863,1.1724137931034482
"Branscum, Kyrstin",2,2018-19;2019-20,58.0,10.0,705.0,64.0,154.0,9.0,36.0,43.0,56.0,180.0,46.0,54.0,100.0,67.0,19.0,50.0,15.0,10.0,0.4155844155844156,0.25,0.7678571428571429,12.155172413793103,3.103448275862069,1.7241379310344827
"Branscum, Kyrstin",3,2018-19;2019-20;2020-21,83.0,30.0,1267.0,133.0,295.0,27.0,86.0,70.0,87.0,363.0,70.0,97.0,167.0,111.0,33.0,78.0,41.0,18.0,0.45084745762711864,0.313953488372093,0.8045977011494253,15.265060240963855,4.373493975903615,2.0120481927710845
"Branscum, Kyrstin",4,2018-19;2019-20;2020-21;2021-22,114.0,33.0,1836.0,201.0,417.0,40.0,122.0,96.0,129.0,538.0,102.0,130.0,232.0,168.0,51.0,102.0,56.0,27.0,0.48201438848920863,0.32786885245901637,0.7441860465116279,16.105263157894736,4.719298245614035,2.0350877192982457
"Brewster, Ali",1,2011-12,29.0,,385.0,26.0,77.0,6.0,15.0,40.0,61.0,98.0,27.0,31.0,58.0,44.0,28.0,51.0,27.0,2.0,0.33766233766233766,0.4,0.6557377049180327,13.275862068965518,3.3793103448275863,2.0
"Brewster, Ali",2,2011-12;2012-13,58.0,29.0,1207.0,96.0,307.0,20.0,74.0,136.0,210.0,348.0,61.0,120.0,181.0,104.0,94.0,138.0,70.0,5.0,0.3127035830618892,0.2702702702702703,0.6476190476190476,20.810344827586206,6.0,3.1206896551724137
"Brown, Bailey",1,2012-13,29.0,18.0,671.0,50.0,159.0,18.0,60.0,85.0,113.0,203.0,25.0,45.0,70.0,60.0,36.0,65.0,21.0,1.0,0.31446540880503143,0.3,0.7522123893805309,23.137931034482758,7.0,2.413793103448276
"Brown, Bailey",2,2012-13;2013-14,60.0,49.0,1668.0,146.0,402.0,43.0,149.0,225.0,296.0,560.0,80.0,180.0,260.0,130.0,98.0,139.0,74.0,4.0,0.36318407960199006,0.28859060402684567,0.7601351351351351,27.8,9.333333333333334,4.333333333333333
"Brown, Bailey",3,2012-13;2013-14;2014-15,90.0,79.0,2723.0,282.0,736.0,66.0,231.0,418.0,557.0,1048.0,154.0,304.0,458.0,212.0,168.0,241.0,131.0,6.0,0.38315217391304346,0.2857142857142857,0.7504488330341114,30.255555555555556,11.644444444444444,5.088888888888889
"Brown, Bailey",4,2012-13;2013-14;2014-15;2015-16,121.0,110.0,3804.0,407.0,1037.0,99.0,327.0,607.0,783.0,1520.0,214.0,406.0,620.0,286.0,211.0,305.0,196.0,8.0,0.39247830279652846,0.30275229357798167,0.7752234993614304,31.43801652892562,12.561983471074381,5.12396694214876
"Bruner, Ashton",1,2015-16,30.0,30.0,949.0,171.0,391.0,3.0,14.0,119.0,186.0,464.0,70.0,186.0,256.0,86.0,71.0,129.0,39.0,34.0,0.4373401534526854,0.21428571428571427,0.6397849462365591,31.633333333333333,15.466666666666667,8.533333333333333
"Bryant, Emeli",1,2014-15,9.0,,45.0,3.0,16.0,2.0,10.0,2.0,3.0,10.0,6.0,4.0,10.0,2.0,4.0,3.0,2.0,,0.1875,0.2,0.6666666666666666,5.0,1.1111111111111112,1.1111111111111112
